time,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
1598992510765921067,624186.687436,4844692.17809,197.299702056,-0.0095349599706,-0.00243258747599,-0.940395977211,0.339939072631,-9.30866718292,11.6012039185,-0.0623984374106,-0.0296862525099,-0.00824390514006,0.00536902118287
1598992510775850920,624186.592132,4844692.29252,197.298862745,-0.00966095899075,-0.00234621205843,-0.940399683606,0.339925868733,-9.30881214142,11.6024265289,-0.0596866160631,-0.0264414695213,-0.0172046635456,-0.000808170237503
1598992510786010907,624186.496752,4844692.40696,197.298067693,-0.00981922508372,-0.0022834351413,-0.940407175882,0.339901033086,-9.32229614258,11.6047840118,-0.0536658242345,-0.0207122963726,-0.0226030367169,0.00582260849108
1598992510795800601,624186.401273,4844692.52146,197.29733651,-0.0100509218912,-0.00217411897338,-0.940418027189,0.339864953054,-9.3253993988,11.6121530533,-0.0476388633251,-0.033189081244,-0.0391089824998,0.00892499870602
1598992510805842821,624186.305816,4844692.636,197.296658172,-0.0102196899749,-0.00203793567816,-0.940427124859,0.33983558905,-9.32161903381,11.6161870956,-0.0430014692247,-0.0403698852462,-0.0279205871102,0.00540060356863
1598992510815800952,624186.210312,4844692.75062,197.296018952,-0.0102699729933,-0.00187271084957,-0.940428607755,0.3398309202,-9.33445549011,11.6244029999,-0.0392074473202,-0.032629915203,-0.00130023872804,-0.00111578790485
1598992510827181757,624186.11468,4844692.86526,197.295422417,-0.0103102391054,-0.00167662589199,-0.940437370699,0.339806473875,-9.34352397919,11.6227035522,-0.0346564389765,-0.0414890911779,0.00740175430643,0.00228898643677
1598992510835805870,624186.01902,4844692.97996,197.29487195,-0.0103310532155,-0.00153186601774,-0.940447418424,0.339778716086,-9.34118556976,11.6379327774,-0.0304482541978,-0.0311395187108,0.00232018885394,0.00899015044538
1598992510845831088,624185.923367,4844693.09482,197.294358272,-0.0102837443996,-0.00139753195148,-0.940450234692,0.339772935317,-9.34329986572,11.6498041153,-0.027153192088,-0.0222167410396,0.0188925604804,0.00318695312171
1598992510855747329,624185.827666,4844693.20975,197.293879356,-0.0103136055547,-0.00131533113471,-0.94045317198,0.33976422819,-9.34886550903,11.6555967331,-0.0228484049439,-0.0187259423035,0.00691380441793,-0.00196364749996
